Besançon-Franche-Comté-TGV;14000;051.6
Besançon-Mouillère;872000;408.2
Besançon-St-Fergeux;852000;402.1
Besançon-Viotte;852000;405.8
Beslé;468000;425.6
Bessancourt;328000;022.3
Bessay;750000;326.6
Bessé-sur-Braye;500000;184.2
Bessines;604000;447.9
Bétaille;719000;643.6
Bétheniville;207000;016.4
Béthune;301000;229.0
Béthune-Rivage;290000;039.5
Betton;441000;386.6
Beuvrages;262000;246.0
Beuvrages;267000;043.4
Beuvry (Pas-de-Calais);289000;036.3
Beuzeville (Eure);375000;183.9
Beynes;396000;038.9
Beynost;890000;020.6
Béziers;640000;431.2
Biache-St-Vaast;272000;204.3
Biarritz;655000;207.9
Bibliothèque-François-Mitterrand;570000;001.5
Bidarray-Pont-Noblia;660000;232.2
Bidos;664000;252.0
Bièvres;990000;111.1
Biffontaine;62000;028.6
Bigny;695000;264.6
Billy-Montigny;284000;214.9
Biot;930000;207.3
Bischheim;145000;003.8
Bischoffsheim;111000;027.7
Bischwiller;146000;016.9
Bitche-Camp;159000;041.4
Bitschwiller (Haut-Rhin);130000;017.5
Blagny;204000;182.0
Blainville-Damelevières;70000;375.6
Blaisy-Bas;830000;287.2
Blanc-Misseron;255000;057.5
Blanc-Misseron;262000;260.2
Blangy-sur-Bresle;325000;158.6
Blangy-sur-Ternoise;308000;089.9
Blanquefort;584000;007.8
Blanzy;769000;098.3
Blanzy-Poste;769000;099.6
Blaye;547000;024.0
Bléré-la-Croix;593000;286.4
Blodelsheim;123000;016.7
Blois-Chambord;570000;179.1
Blonville-sur-Mer-Benerville;379000;042.7
Bobigny;957000;000.0
Bobigny;990000;057.0
Boën;784000;094.3
Bogny-sur-Meuse;205000;158.4
Bohain;242000;174.5
Boigneville;745000;070.0
Bois-Colombes;334000;005.7
Bois-Colombes;334900;005.7
Bois-d'Oingt-Légny;775000;085.3
Bois-le-Roi;830000;050.9
Boisleux;272000;183.5
Boisseaux;570000;080.4
Boisset;720000;269.6
Boissise-le-Roi;746000;049.5
Boissy-l'Aillerie;330000;034.5
Bolbec-Nointot;340000;196.5
Bollène-la-Croisière;830000;694.5
Bollwiller;115000;090.8
Bollwiller;122000;000.0
Bologne;20000;292.7
Bologne;26000;000.0
Bolquère-Eyne;669000;030.1
Bondy;70000;010.7
Bondy;958000;000.0
Bon-Encontre;640000;140.9
Bon-Encontre;647000;140.9
Bonnard-Bassou;753000;159.3
Bonnemain;441000;422.4
Bonneval;550000;119.4
Bonneville;895000;010.3
Bonnières;340000;068.3
Bons-en-Chablais;892000;186.0
Bonson;784000;126.1
Boran-sur-Oise;329000;052.2
Bordeaux-Bastide;568000;579.5
Bordeaux-St-Jean;570000;583.4
Bordeaux-St-Jean;640000;000.0
Bordeaux-St-Jean;655000;000.0
Bords;530000;225.0
Bornel-Belle-Église;325000;045.5
Bossey-Veyrier;892000;165.2
Bouaye;534000;014.9
Bouchain;250000;219.7
Boucoiran;790000;693.4
Bouffémont-Moisselles;325000;022.1
Bougival;974000;022.7
Bouilly-Roncenay;832000;178.1
Boulainvilliers;962000;003.1
Boulazac;621000;081.0
Boulogne-Tintelleries;314000;254.1
Boulouris-sur-Mer;930000;164.1
Bouray;570000;039.0
Bourbourg;304000;017.8
Bourganeuf;703000;448.6
Bourg-Bruche;110000;058.6
Bourg-en-Bresse;880000;505.8
Bourg-en-Bresse;882000;077.0
Bourg-en-Bresse;883000;037.1
Bourg-en-Bresse;884000;000.0
Bourg-en-Bresse;886000;065.4
Bourges;690000;232.8
Bourg-Madame;669000;055.8
Bourgneuf-en-Retz;536000;014.3
Bourgoin-Jallieu;905000;041.6
Bourg-St-Maurice;899000;080.1
Bourgtheroulde-Thuit-Hébert;372000;033.6
Bournezeau;525000;057.4
Bourron-Marlotte-Grez;750000;078.8
Bourth;395000;126.4
Boussay-La Bruffière;527000;009.1
Boussens;650000;065.9
Boussy-St-Antoine;830000;023.5
Bouthéon;750000;487.9
Boutigny;745000;059.0
Bouvines;268000;258.0
Bouy;81000;190.1
Bouzonville;174000;036.8
Boves;232000;143.3
Boves;272000;122.0
Braine;205000;016.8
Bram;640000;327.4
Brandérion;470000;604.2
Brassac-les-Mines-Ste-Florine;790000;472.8
Brax-Léguevin;648000;026.3
Brazey-en-Plaine;860000;340.9
Bréauté-Beuzeville;340000;202.1
Brebières-Sud;272000;209.7
Breil-sur-Roya;945000;044.8
Breil-sur-Roya;946000;077.1
Breitenbach;119000;021.9
Brélidy-Plouëc;486000;520.3
Brens-Virignin;904000;100.0
Bresles;317000;014.0
Bressuire;523000;089.0
Bressuire;525000;122.5
Brest;420000;622.2
Breteil;420000;391.8
Bretenoux-Biars;719000;653.4
Breteuil;422000;054.6
Breteuil-Embranchement;272000;094.5
Breteuil-Ville;319000;101.7
Brétigny;570000;031.3
Bretigny-Norges;849000;330.5
Bretoncelles;420000;134.6
Bretteville-Norrey;366000;252.9
Breuillet-Bruyères-le-Châtel;550000;040.8
Breuillet-Village;550000;042.4
Breuil-Romain;205000;034.3
Bréval;366000;070.7
Briançon;915000;348.8
Briare;750000;164.2
Bricon;1000;249.3
Bricon;840000;000.0
Bricy-Boulay;556000;060.0
Brienne-le-Château;15000;208.1
Brienon;830000;163.0
Brignac;713000;402.6
Brignais;775000;125.6
Brignoud;909000;020.2
Brimeux;308000;118.3
Brion-Laizy;761000;005.0
Brion-Montréal-la-Cluse;878000;116.9
Brion-Montréal-la-Cluse;884000;035.1
Brionne;372000;010.4
Brion-sur-Ource;840000;035.8
Brioude;790000;489.9
Briouze;405000;029.7
Briouze;434000;000.0
Brive-la-Gaillarde;590000;499.5
Broons;420000;427.1
Brou;500000;124.0
Broye;760000;113.4
Bruges;584000;004.9
Brumath;70000;484.5
Brunémont;259000;210.7
Brunoy;830000;021.0
Bruyères;62000;019.2
